transaction_id,customer_id,amount,account_age_days,transactions_1h,transactions_24h,failed_attempts_24h,hour,device_age_days,is_fraud
TXN000057,2140,505.12,319,4,4,0,9,615,0
TXN000058,1391,1699.27,555,1,4,1,20,571,0
TXN000059,1479,12318.67,412,2,8,0,22,121,0
TXN000060,2557,887.8,356,0,9,1,16,853,0
TXN000061,776,1388.35,671,3,8,2,14,195,0
TXN000062,35,12296.58,617,2,2,0,6,99,0
TXN000063,2254,2356.59,965,1,10,0,12,424,0
TXN000064,1956,187.02,229,1,4,0,23,292,0
TXN000065,1586,422.18,729,2,5,0,15,122,0
TXN000066,1022,2508.64,264,1,4,0,6,99,0
TXN000067,2614,1821.85,930,1,5,0,20,66,0
TXN000068,1130,1332.88,487,2,1,1,1,134,0
TXN000069,1501,14668.67,561,1,3,3,13,745,0
TXN000070,703,522.7,352,1,4,1,3,826,0
TXN000071,2450,1002.95,442,1,5,0,17,860,0
TXN000072,2778,103.99,635,1,2,0,3,609,0
TXN000073,1580,4415.13,459,2,8,3,2,760,0
TXN000074,162,420.47,815,2,3,1,4,228,0
TXN000075,202,3899.35,25,1,3,0,19,740,0
TXN000076,1982,3437.28,131,2,5,2,10,56,0
TXN000077,996,18378.18,941,4,4,0,1,457,0
TXN000078,2318,2390.2,370,1,2,0,19,351,0
TXN000079,816,715.3,436,4,8,0,5,884,0
TXN000080,456,1890.03,224,0,5,0,6,294,0
TXN000081,1276,440.93,611,2,13,1,17,485,0
TXN000082,1017,1608.4,352,1,3,2,4,695,0
TXN000083,2344,861.71,802,1,9,0,19,178,0
TXN000084,2768,1007.87,485,1,5,0,12,641,0
TXN000085,338,373.14,197,2,3,1,0,660,0
TXN000086,879,1572.68,109,0,4,1,5,688,0
TXN000087,1077,2948.57,860,2,7,0,20,825,0
TXN000088,792,151.03,220,3,7,0,6,164,0
TXN000089,2265,479.95,776,1,2,1,1,682,0
TXN000090,764,1341.65,923,1,2,1,15,503,0
TXN000091,2236,65.58,720,1,4,0,12,891,0
TXN000092,380,8851.28,319,3,4,0,3,290,0
TXN000093,493,467.16,82,1,9,0,3,200,0
TXN000094,1181,355.77,537,3,4,1,9,590,0
TXN000095,2063,855.08,698,2,9,1,9,52,0
TXN000096,65,1293.16,432,1,6,1,13,708,0
TXN000097,2569,442.41,897,1,7,0,19,742,0
TXN000098,1368,3556.37,8,2,8,1,14,302,0
TXN000099,1153,1771.62,636,1,2,0,2,700,0
TXN000100,2028,401.54,149,0,4,4,1,398,0
TXN000101,2696,585.88,98,1,2,1,3,849,0
TXN000102,1496,177.66,728,1,4,0,14,46,0
TXN000103,1163,243.71,101,1,7,0,11,921,0
TXN000104,1523,1746.06,730,0,7,0,9,177,0
TXN000105,2641,406.57,367,2,2,0,8,383,0
TXN000106,392,9558.07,462,1,2,0,22,723,0
TXN000107,1699,1194.05,925,2,2,1,9,558,0
TXN000108,419,216.29,414,3,6,1,23,326,0
TXN000109,2337,278.1,259,2,2,1,22,876,0
TXN000110,379,3879.9,903,0,9,0,0,445,0
TXN000111,1797,1000.43,356,2,3,1,15,889,0
TXN000112,2279,3606.14,11,0,5,0,9,143,0
TXN000113,2089,706.42,416,1,3,0,3,841,0
TXN000114,2183,559.88,571,2,1,0,22,974,0
TXN000115,201,4202.09,250,1,8,1,22,332,0
TXN000116,1864,391.39,652,4,2,2,5,379,0
TXN000117,780,1972.12,847,0,6,2,16,837,0
TXN000118,2978,850.53,550,1,10,0,21,736,0
TXN000119,503,3147.83,122,1,9,1,0,191,0
TXN000120,2455,9722.33,920,0,6,2,6,569,0
TXN000121,1752,684.98,65,0,3,0,4,2,0
TXN000122,805,568.74,658,1,2,0,2,629,0
TXN000123,2147,2438.09,302,0,4,4,18,856,0
TXN000124,2732,299.34,125,0,4,1,23,360,0
TXN000125,1896,7629.35,312,1,6,1,14,493,0
TXN000126,2774,6218.15,191,3,1,0,8,429,0
TXN000127,1571,330.65,775,1,3,1,5,821,0
TXN000128,961,164.06,873,0,3,0,18,360,0
TXN000129,2661,272.41,450,2,4,0,4,237,0
TXN000130,1486,277.43,808,1,3,1,17,860,0
TXN000131,2691,2870.13,694,2,6,0,15,815,0
TXN000132,1029,7037.47,159,0,3,0,17,533,0
TXN000133,503,2830.34,353,1,5,1,20,901,0
TXN000134,2815,825.98,820,3,6,0,17,479,0
TXN000135,398,1654.08,990,1,1,1,18,674,0
TXN000136,871,386.17,799,3,7,1,0,808,0
TXN000137,2843,4091.43,674,0,4,0,12,115,0
TXN000138,393,1841.68,263,2,3,0,7,955,0
TXN000139,207,2773.42,729,0,4,0,11,809,0
TXN000140,1039,458.04,912,0,1,1,8,521,0
TXN000141,1882,895.77,406,1,4,2,3,95,0
TXN000142,2940,2617.8,996,3,1,0,19,572,0
TXN000143,1485,6199.45,693,1,2,2,14,877,0
TXN000144,864,528.63,603,0,3,1,15,291,0
TXN000145,2791,2797.67,17,1,4,1,0,977,0
TXN000146,564,466.62,637,4,8,0,13,331,0
TXN000147,1021,13913.75,260,2,5,1,12,907,0
TXN000148,96,666.61,957,4,5,2,10,929,0
TXN000149,1924,2373.7,890,1,6,1,16,15,0
TXN000150,1758,1337.73,355,1,5,2,17,965,0
TXN000151,2533,24993.32,489,1,6,1,16,960,0
TXN000152,2279,1445.03,214,4,12,0,21,48,0
TXN000153,2797,591.07,239,2,4,0,23,945,0
TXN000154,1679,2362.34,180,3,2,0,21,936,0
TXN000155,541,2300.06,419,3,3,0,14,238,0
TXN000156,1060,907.81,684,0,7,1,5,139,0
TXN000157,2573,294.8,143,0,4,1,11,701,0
TXN000158,1184,581.96,317,0,7,1,6,915,0
TXN000159,1723,3158.33,244,0,5,1,11,799,0
TXN000160,1820,134.7,232,0,1,0,11,926,0
TXN000161,2626,814.31,684,2,4,0,8,915,0
TXN000162,2730,3618.58,789,1,9,0,20,720,0
TXN000163,2605,980.25,589,0,4,0,9,954,0
TXN000164,1598,14890.1,303,2,7,0,12,873,0
TXN000165,2694,135.15,331,2,6,0,11,277,0
TXN000166,796,345.97,561,2,1,2,1,44,0
TXN000167,1052,68.2,949,0,3,0,15,747,0
TXN000168,1644,11997.2,248,2,5,0,1,773,0
TXN000169,1364,352.84,283,2,7,1,18,694,0
TXN000170,1982,101.06,287,0,2,0,18,603,0
TXN000171,1355,526.21,940,1,7,0,7,287,0
TXN000172,1664,206.16,32,0,6,4,21,560,0
TXN000173,1530,530.73,500,0,4,0,18,538,0
TXN000174,2039,1152.25,670,1,7,0,3,456,0
TXN000175,1497,2881.04,530,0,8,1,13,71,0
TXN000176,2238,889.27,381,4,5,0,5,338,0
TXN000177,1409,1130.42,63,2,3,0,14,165,0
TXN000178,1401,545.71,128,0,3,2,5,872,0
TXN000179,1307,178.75,528,1,3,0,21,279,0
TXN000180,2681,119.6,163,2,5,2,10,948,0
TXN000181,2676,708.12,958,4,6,3,1,737,0
TXN000182,973,1213.87,251,2,3,1,5,88,0
TXN000183,1769,647.85,649,2,9,1,7,993,0
TXN000184,1283,125.06,830,0,6,0,12,993,0
TXN000185,710,1396.44,295,2,7,0,21,242,0
TXN000186,1480,7747.81,179,2,5,1,12,308,0
TXN000187,1435,955.68,229,2,8,0,5,412,0
TXN000188,649,547.06,883,0,5,0,13,66,0
TXN000189,318,1019.85,394,2,5,2,23,238,0
TXN000190,1258,291.41,692,2,3,0,9,751,0
TXN000191,684,269.7,396,1,5,0,21,993,0
TXN000192,664,1885.03,72,0,5,0,13,292,0
TXN000193,1999,3598.91,318,1,5,0,16,102,0
TXN000194,1632,919.18,899,1,7,0,13,508,0
TXN000195,1496,102.67,595,1,7,2,19,850,0
TXN000196,1137,1675.75,379,1,7,1,2,310,0
TXN000197,1854,13106.43,907,1,4,1,9,905,0
TXN000198,1521,818.38,136,2,5,1,4,25,0
TXN000199,2490,885.88,730,2,9,1,20,354,0
TXN000200,564,384.84,621,3,5,0,4,220,0
TXN000201,1292,1953.98,378,0,4,2,23,804,0
TXN000202,1637,490.2,919,1,4,0,5,526,0
TXN000203,699,3736.12,119,1,9,0,1,757,0
TXN000204,2161,498.15,906,2,9,0,4,612,0
TXN000205,2,1652.67,530,1,6,0,7,10,0
TXN000206,642,1037.31,844,1,3,2,14,756,0
TXN000207,2268,7087.83,935,2,7,2,9,9,0
TXN000208,1590,1792.52,666,1,5,0,21,873,0
TXN000209,855,5793.02,523,1,4,0,9,121,0
TXN000210,1760,1249.31,650,2,8,1,18,771,0
TXN000211,2433,893.47,387,1,8,0,3,643,0
TXN000212,1662,1047.51,574,2,4,0,21,522,0
TXN000213,1154,434.55,583,4,3,1,1,948,0
TXN000214,1077,2075.59,573,1,8,0,1,409,0
TXN000215,1708,478.94,644,5,8,0,3,535,0
TXN000216,2778,1255.08,573,2,6,0,18,625,0
TXN000217,1696,3060.22,904,2,7,0,16,267,0
TXN000218,1734,7333.87,870,3,7,1,20,918,0
TXN000219,1440,1333.33,269,0,4,0,12,309,0
TXN000220,2295,3082.35,524,0,7,1,16,283,0
TXN000221,836,2671.15,547,2,3,1,8,890,0
TXN000222,203,693.08,486,1,7,1,19,451,0
TXN000223,123,13757.84,438,3,6,1,21,559,0
TXN000224,401,549.23,563,2,2,1,11,106,0
TXN000225,767,1223.16,555,0,5,0,7,249,0
TXN000226,294,6278.86,740,1,3,0,10,653,0
TXN000227,2328,6095.77,111,2,6,1,8,630,0
TXN000228,2932,1115.64,322,1,5,0,16,670,0
TXN000229,198,3599.32,527,3,5,0,2,174,0
TXN000230,1931,838.18,177,0,6,0,0,632,0
TXN000231,2800,610.08,674,1,6,1,13,866,0
TXN000232,2192,255.87,551,2,4,2,19,670,0
TXN000233,609,2614.05,538,2,4,2,11,600,0
TXN000234,1148,2966.28,624,1,2,0,6,699,0
TXN000235,187,554.76,965,2,1,1,21,513,0
TXN000236,2512,1512.8,944,1,8,0,19,292,0
TXN000237,1795,26401.76,473,2,5,1,3,268,0
TXN000238,660,4341.69,563,0,8,1,13,532,0
TXN000239,2812,371.75,994,4,6,1,6,376,0
TXN000240,1956,3647.78,879,0,7,0,11,386,0
TXN000241,2451,373.82,388,0,6,1,9,89,0
TXN000242,1370,33.98,98,5,10,2,14,957,0
TXN000243,1987,1070.1,411,0,2,0,23,160,0
TXN000244,1535,7156.97,375,0,7,0,17,365,0
TXN000245,147,5866.05,170,1,1,1,2,737,0
TXN000246,2912,1724.48,56,1,6,0,9,287,0
TXN000247,1735,572.45,733,5,3,0,5,996,0
TXN000248,1844,1965.97,325,0,4,0,16,916,0
TXN000249,489,793.94,658,1,9,0,11,568,0
TXN000250,2977,592.06,957,1,3,1,21,792,0
TXN000251,1960,3922.18,260,2,4,2,16,492,0
TXN000252,1664,583.33,641,2,4,0,12,873,0
TXN000253,2599,4241.55,562,4,4,1,3,93,0
TXN000254,2386,538.82,340,0,3,0,23,42,0
TXN000255,2920,12967.36,838,0,3,1,1,748,0
TXN000256,641,153.12,404,3,4,0,5,387,0
TXN000257,1803,347.89,532,2,4,0,15,452,0
TXN000258,2521,910.1,174,1,6,0,6,68,0
TXN000259,1970,101.41,795,1,8,0,19,205,0
TXN000260,2199,50.14,538,2,8,0,11,847,0
TXN000261,1439,102.46,160,2,6,1,19,327,0
TXN000262,1635,772.39,10,1,7,1,21,612,0
TXN000263,263,796.28,594,1,3,1,3,505,0
TXN000264,1788,1635.33,256,0,4,0,8,907,0
TXN000265,2192,865.75,617,2,2,1,8,917,0
TXN000266,2394,1570.92,652,1,8,2,9,295,0
TXN000267,624,638.9,714,4,4,0,20,396,0
TXN000268,1017,2585.77,344,1,6,1,18,702,0
TXN000269,881,2237.63,536,3,5,1,1,209,0
TXN000270,2050,740.98,373,3,6,0,5,790,0
TXN000271,2945,2078.94,435,1,7,1,3,511,0
TXN000272,1328,872.38,934,1,3,1,19,658,0
TXN000273,2302,176.48,46,2,5,1,4,196,0
TXN000274,453,3246.71,729,0,0,0,2,838,0
TXN000275,1184,369.38,904,3,4,1,9,751,0
TXN000276,2057,3205.39,55,1,8,0,12,764,0
TXN000277,1683,1617.82,78,0,5,2,3,400,0
TXN000278,2864,990.86,491,1,7,1,21,999,0
TXN000279,2256,115.31,671,1,4,0,10,457,0
TXN000280,1155,6958.33,856,0,2,0,10,462,0
TXN000281,404,709.29,272,4,7,3,4,231,0
TXN000282,2200,2348.37,660,2,4,1,13,160,0
TXN000283,2102,956.45,550,1,8,0,9,53,0
TXN000284,1697,791.78,111,1,5,1,9,817,0
TXN000285,628,1382.11,15,0,5,1,23,378,0
TXN000286,587,1132.16,78,3,6,1,18,179,0
TXN000287,1649,796.01,501,1,6,2,14,780,0
TXN000288,1444,1026.2,588,2,6,0,5,887,0
TXN000289,1446,1830.74,418,1,2,0,1,183,0
TXN000290,104,1992.97,840,4,7,1,21,519,0
TXN000291,254,1155.2,275,3,9,1,0,390,0
TXN000292,2558,2310.28,494,2,4,2,7,154,0
TXN000293,1497,659.26,197,0,1,0,19,924,0
TXN000294,99,15833.19,376,1,4,1,8,265,0
TXN000295,2201,6520.5,731,0,6,2,6,489,0
TXN000296,1885,2737.86,63,1,3,0,1,150,0
TXN000297,2962,106.71,361,0,7,0,3,57,0
TXN000298,1920,2269.29,973,2,5,0,8,174,0
TXN000299,878,732.19,544,2,6,2,20,376,0
TXN000300,338,338.86,991,0,9,1,6,235,0
TXN000301,2870,710.16,745,3,4,0,13,643,0
TXN000302,957,387.07,110,0,4,0,13,471,0
TXN000303,1705,2014.58,677,1,5,0,17,274,0
TXN000304,161,7625.04,194,0,3,0,7,837,0
TXN000305,1604,2954.94,519,0,11,1,8,503,0
TXN000306,2849,30182.88,944,1,3,1,0,294,0
TXN000307,398,169.98,651,0,7,0,22,278,0
TXN000308,1301,597.5,459,1,8,2,7,162,0
TXN000309,816,353.67,855,4,4,0,10,398,0
TXN000310,1528,4794.58,799,3,5,0,22,412,0
TXN000311,1920,841.63,940,2,5,1,17,680,0
TXN000312,1416,1376.67,301,1,9,2,23,858,0
TXN000313,1159,2345.9,968,1,1,0,4,563,0
TXN000314,1219,191.38,568,0,3,0,2,962,0
TXN000315,401,520.29,672,2,7,1,20,96,0
TXN000316,640,3629.02,496,0,4,0,19,752,0
TXN000317,2736,568.1,149,1,1,0,21,79,0
TXN000318,460,140.28,799,1,5,2,9,945,0
TXN000319,955,371.4,769,2,7,3,5,718,0
TXN000320,470,777.81,461,2,9,2,12,846,0
TXN000321,1046,1339.58,139,1,7,1,3,432,0
TXN000322,2798,1007.3,861,1,5,0,11,277,0
TXN000323,1694,524.76,836,3,6,1,6,225,0
TXN000324,2086,3385.23,292,2,6,0,18,100,0
TXN000325,2278,939.29,335,4,7,2,12,696,0
TXN000326,563,1409.91,699,2,6,2,11,448,0
TXN000327,2486,559.39,835,2,3,0,21,633,0
TXN000328,1800,6705.8,184,1,8,1,4,102,0
TXN000329,2075,685.43,307,1,2,1,1,227,0
TXN000330,226,1199.47,925,2,4,0,10,868,0
TXN000331,798,3797.12,981,2,10,1,11,489,0
TXN000332,2332,1534.64,898,2,2,1,4,937,0
TXN000333,2927,1489.37,262,5,10,0,11,754,0
TXN000334,960,102.68,927,2,4,1,4,605,0
TXN000335,1505,2481.86,310,1,3,1,7,703,0
TXN000336,453,1172.28,344,1,4,1,2,129,0
TXN000337,816,2100.39,424,0,5,1,12,151,0
TXN000338,659,1366.29,657,2,3,0,18,224,0
TXN000339,547,560.6,773,2,4,0,1,709,0
TXN000340,1216,3207.25,514,2,9,0,1,957,0
TXN000341,17,1390.96,826,2,8,0,13,281,0
TXN000342,1244,233.4,524,3,0,1,1,790,0
TXN000343,2206,5272.29,261,3,2,0,3,888,0
TXN000344,2525,197.04,362,0,9,1,14,679,0
TXN000345,1070,3232.84,956,5,5,1,4,193,0
TXN000346,2566,6531.02,169,1,7,1,0,23,0
TXN000347,2147,290.74,660,1,5,1,9,659,0
TXN000348,1769,946.42,200,2,6,0,1,520,0
TXN000349,1061,846.29,385,2,2,0,17,650,0
TXN000350,2328,893.22,312,2,0,0,5,237,0
TXN000351,2545,9860.44,582,2,6,0,11,614,0
TXN000352,302,294.81,312,0,3,3,18,397,0
TXN000353,181,759.09,566,0,2,0,15,746,0
TXN000354,607,6660.75,395,5,3,1,5,101,0
TXN000355,700,744.31,771,2,3,2,3,114,0
TXN000356,993,356.76,351,2,7,0,9,716,0
TXN000357,1140,1503.6,28,1,7,1,22,860,0
TXN000358,191,2883.52,879,1,8,1,19,749,0
TXN000359,2301,684.43,875,0,5,0,4,659,0
TXN000360,981,2132.91,632,1,8,0,9,1,0
TXN000361,2976,210.2,133,1,3,0,13,933,0
TXN000362,2007,224.7,380,2,4,0,4,340,0
TXN000363,1185,646.71,602,2,5,0,4,511,0
TXN000364,128,2226.13,528,0,2,0,8,222,0
TXN000365,2066,2734.76,287,1,4,0,3,309,0
TXN000366,1817,265.49,284,2,4,1,21,328,0
TXN000367,1759,2615.75,903,1,7,1,13,306,0
TXN000368,2614,1339.17,742,1,5,1,9,39,0
TXN000369,570,381.82,649,1,5,0,20,42,0
TXN000370,1347,221.18,807,0,9,2,1,360,0
TXN000371,1896,1444.89,227,1,4,0,13,887,0
TXN000372,2734,5153.73,427,0,2,1,15,764,0
TXN000373,626,1144.39,27,1,11,3,2,999,0
TXN000374,2902,357.13,332,0,6,0,7,561,0
TXN000375,1687,116.56,117,1,7,0,23,410,0
TXN000376,155,6873.23,89,1,4,0,19,932,0
TXN000377,2538,3828.47,619,2,7,0,4,264,0
TXN000378,1410,1575.76,733,0,1,0,23,27,0
TXN000379,785,6461.34,735,2,3,0,23,604,0
TXN000380,246,1434.69,122,0,5,2,4,52,0
TXN000381,1501,579.84,894,3,2,2,2,305,0
TXN000382,1706,2134.87,866,1,5,1,7,535,0
TXN000383,2807,405.18,33,1,5,1,4,729,1
TXN000384,538,332.03,603,0,5,2,17,169,0
TXN000385,1891,2768.13,696,0,5,1,0,950,0
TXN000386,1842,3062.27,888,2,3,0,0,171,0
TXN000387,921,237.82,770,2,7,0,10,818,0
TXN000388,2456,248.6,398,3,5,1,22,372,0
TXN000389,525,642.87,525,0,5,0,2,585,0
TXN000390,2876,467.05,24,1,4,2,23,122,0
TXN000391,1530,1942.61,325,0,2,1,10,530,0
TXN000392,2951,1161.72,34,2,9,1,10,966,0
TXN000393,36,4437.68,247,1,6,0,19,451,0
TXN000394,685,1604.73,855,0,6,2,6,757,0
TXN000395,20,505.99,19,1,4,0,5,744,0
TXN000396,2369,113.37,30,1,4,1,0,155,0
TXN000397,2560,1360.15,49,2,7,0,7,114,0
TXN000398,400,140.84,939,1,3,1,11,815,0
TXN000399,2702,498.52,912,1,2,1,23,991,0
TXN000400,972,461.24,180,2,4,0,21,283,0
TXN000401,1907,595.79,370,1,6,0,8,729,0
TXN000402,2519,226.05,884,3,3,1,23,143,0
TXN000403,1167,459.28,738,6,4,2,18,694,0
TXN000404,1116,4337.64,945,2,8,0,21,457,0
TXN000405,834,4323.32,395,3,3,0,15,883,0
TXN000406,1824,6898.09,590,3,7,1,20,658,0
TXN000407,2775,1110.07,496,2,5,2,20,513,0
TXN000408,1983,1518.48,431,0,5,1,23,380,0
TXN000409,854,4414.87,207,1,10,1,21,908,0
TXN000410,51,187.77,35,0,7,2,5,923,0
TXN000411,575,2883.48,762,2,4,1,22,761,0
TXN000412,1149,5233.39,583,0,4,1,2,686,0
TXN000413,2198,377.38,413,1,5,1,21,199,0
TXN000414,2362,5762.73,364,0,2,0,8,402,0
TXN000415,2618,12955.29,310,0,4,2,6,802,0
TXN000416,2353,2788.94,982,1,4,0,5,882,0
TXN000417,1716,2238.15,279,0,3,0,16,17,0
TXN000418,682,286.08,152,0,4,1,7,36,0
TXN000419,838,3956.22,227,2,7,2,6,613,0
TXN000420,1078,320.31,243,2,3,0,10,442,0
TXN000421,2492,1709.04,10,0,9,0,6,236,0
TXN000422,2661,1930.07,829,0,6,1,13,822,0
TXN000423,2312,21.0,392,2,3,0,1,130,0
TXN000424,1596,1784.63,48,0,0,1,10,422,0
TXN000425,5,25483.07,624,3,4,0,13,461,0
TXN000426,1127,89.1,204,1,3,0,13,427,0
TXN000427,1220,1027.96,989,1,3,1,1,419,0
TXN000428,774,106.0,894,0,8,0,22,139,0
TXN000429,877,375.04,157,2,12,1,19,737,0
TXN000430,992,108.23,855,0,3,0,22,539,0
TXN000431,2932,1328.03,26,3,6,0,12,248,0
TXN000432,47,2842.18,421,0,7,0,11,810,0
TXN000433,2915,1793.07,992,1,5,2,20,111,0
TXN000434,2871,359.16,820,3,3,0,18,437,0
TXN000435,2984,527.8,678,1,3,0,8,837,0
TXN000436,2704,1520.4,761,2,10,1,3,615,0
TXN000437,269,372.89,774,1,4,1,11,881,0
TXN000438,370,222.62,264,1,1,1,8,399,0
TXN000439,636,823.08,529,2,5,0,15,375,0
TXN000440,1130,352.96,588,4,4,2,13,613,0
TXN000441,1694,1796.99,958,1,5,1,16,439,0
TXN000442,1683,5210.53,470,0,6,1,8,390,0
TXN000443,657,24762.86,254,1,5,0,5,608,0
TXN000444,120,1645.3,718,1,5,0,22,107,0
TXN000445,831,2380.74,546,2,5,1,11,561,1
TXN000446,1811,534.23,147,2,7,1,7,499,0
TXN000447,1082,575.45,326,2,7,0,1,249,1
TXN000448,1975,5119.78,338,2,8,0,22,623,0
TXN000449,1370,787.14,740,0,3,1,18,411,0
TXN000450,741,1196.96,118,1,7,0,13,898,0
TXN000451,117,4757.94,165,2,3,1,21,871,0
TXN000452,1854,794.45,550,1,4,1,22,278,0
TXN000453,2839,6637.59,911,2,7,0,4,790,0
TXN000454,1151,2181.21,870,0,8,0,18,723,0
TXN000455,1932,1894.06,808,0,7,1,19,326,0
TXN000456,1013,503.8,649,3,6,1,23,789,0
TXN000457,1665,2020.2,821,0,9,0,9,543,0
TXN000458,1082,655.33,758,3,7,0,10,7,0
TXN000459,634,1926.17,198,4,4,1,11,540,0
TXN000460,513,970.5,374,3,4,1,6,497,0
TXN000461,2850,3498.79,578,0,9,2,23,377,0
TXN000462,1120,1055.61,592,0,6,0,4,196,0
TXN000463,1142,12650.21,564,1,3,0,12,123,0
TXN000464,560,787.88,129,4,6,1,22,577,0
TXN000465,488,577.39,414,1,5,0,22,265,0
TXN000466,897,1661.27,380,4,6,0,7,243,0
TXN000467,1213,3997.58,880,1,1,2,1,391,0
TXN000468,704,3960.47,993,1,7,3,1,951,0
TXN000469,1471,1339.62,1,0,6,1,5,582,0
TXN000470,581,1647.32,167,1,7,0,17,68,0
TXN000471,2838,1650.19,16,0,6,0,13,429,0
TXN000472,2909,300.83,657,1,2,0,1,798,0
TXN000473,2295,3747.66,112,1,7,1,9,430,0
TXN000474,154,242.4,368,2,6,0,1,240,0
TXN000475,1680,301.51,102,1,4,0,1,32,0
TXN000476,997,1171.49,594,1,4,0,19,919,0
TXN000477,2745,747.08,406,2,4,0,14,525,0
TXN000478,1244,2850.9,982,2,3,1,3,938,0
TXN000479,1093,1875.86,507,0,2,0,7,607,0
TXN000480,1009,1294.45,611,1,3,0,13,240,0
TXN000481,2142,284.11,671,0,7,0,19,342,0
TXN000482,1774,1132.15,40,1,5,0,7,513,0
TXN000483,958,1029.66,667,1,4,2,1,335,0
TXN000484,453,1431.71,548,2,4,1,21,14,0
TXN000485,1228,654.55,381,3,5,0,20,784,0
TXN000486,2960,2053.66,759,1,3,0,23,447,0
TXN000487,2266,723.52,516,1,2,0,10,104,0
TXN000488,2522,1835.25,497,2,7,1,14,49,0
TXN000489,2480,2850.52,886,2,5,0,19,108,0
TXN000490,2389,577.37,965,2,4,0,19,474,0
TXN000491,551,434.16,281,2,2,0,4,153,0
TXN000492,1636,1942.32,351,2,4,1,12,719,0
TXN000493,1313,224.68,334,2,7,1,15,52,0
TXN000494,1758,4163.03,926,2,5,0,22,39,0
TXN000495,357,1111.15,943,1,6,2,5,908,0
TXN000496,2071,955.55,761,1,7,0,2,840,0
TXN000497,1786,2111.64,524,4,6,2,0,539,0
TXN000498,2570,1960.09,283,3,8,1,7,157,0
TXN000499,1782,1105.24,941,2,8,1,14,215,0
TXN000500,2850,3147.42,728,1,8,1,5,503,0
TXN000501,2810,489.38,319,1,5,0,6,303,0
TXN000502,2490,2578.15,823,1,4,2,18,470,0
TXN000503,1632,300.56,414,3,5,0,17,968,0
TXN000504,2817,2023.89,594,1,5,1,0,490,0
TXN000505,1016,739.93,14,1,6,1,23,589,0
TXN000506,1349,227.4,56,1,6,1,12,345,0
TXN000507,516,1492.15,403,3,3,0,21,865,0
TXN000508,2840,1052.25,342,1,6,1,19,701,0
